date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:53	32227/32227	---M--	200	added ('OK')	text/html	etag:%2267c04f43-7de3%22	https://templates.framework-y.com/gourmet/pages/features/components/maps.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/features/components/maps.html	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:53	40611/40611	---M--	200	added ('OK')	text/html	etag:%2267c04f43-9ea3%22	https://templates.framework-y.com/gourmet/pages/features/components/tables.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/features/components/tables.html	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:53	56517/56517	---M--	200	added ('OK')	text/html	etag:%2267c04f43-dcc5%22	https://templates.framework-y.com/gourmet/pages/features/containers/lightbox.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/features/containers/lightbox.html	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:54	41705/41705	---M--	200	added ('OK')	text/html	etag:%2267c04f43-a2e9%22	https://templates.framework-y.com/gourmet/pages/features/containers/scroll-box-collapse.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/features/containers/scroll-box-collapse.html	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:54	90534/90534	---M--	200	added ('OK')	text/html	etag:%2267c04f44-161a6%22	https://templates.framework-y.com/gourmet/pages/features/containers/sliders.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/features/containers/sliders.html	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:54	65497/65497	---M--	200	added ('OK')	text/html	etag:%2267c04f44-ffd9%22	https://templates.framework-y.com/gourmet/pages/features/containers/tabs.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/features/containers/tabs.html	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:54	38994/38994	---M--	200	added ('OK')	text/html	etag:%2267c04f43-9852%22	https://templates.framework-y.com/gourmet/pages/features/containers/accordions.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/features/containers/accordions.html	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:55	30311/30311	---M--	200	added ('OK')	text/html	etag:%2267c04f44-7667%22	https://templates.framework-y.com/gourmet/pages/features/footers/footer-parallax.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/features/footers/footer-parallax.html	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:55	37910/37910	---M--	200	added ('OK')	text/html	etag:%2267c04f43-9416%22	https://templates.framework-y.com/gourmet/pages/features/components/php-contact-form.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/features/components/php-contact-form.html	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:55	30010/30010	---M--	200	added ('OK')	text/html	etag:%2267c04f44-753a%22	https://templates.framework-y.com/gourmet/pages/features/footers/footer-minimal.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/features/footers/footer-minimal.html	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
